"profile_index","aquatroll_sn","Date","Longitude","Latitude","Surface.Temperature","Bottom.Temperature","Surface.Dissolved.Oxygen","Bottom.Dissolved.Oxygen"
26,676038,"2020-05-06 17:56:43",-82.6856333333333,26.16134,28.1735121347307,26.8858322007814,6.47169439196333,6.77547417108446
27,676038,"2020-05-06 19:21:27",-82.6146802651515,26.2503888510101,28.2370686492795,27.341843590348,6.48562365808075,6.76446127380006
28,676038,"2020-05-06 21:14:32",-82.3712227647059,26.5642504901961,27.9027279975225,27.3315664408328,6.43508583043672,6.58520869291636
31,676154,"2021-05-17 19:23:10",-82.2841279166667,26.6219505921053,27.7478235797308,26.9999600438252,8.06468516572392,8.23828898082748
32,676154,"2021-05-17 19:49:11",-82.3536722530864,26.6592448765432,27.6896338854966,27.0322838890795,8.01360484539074,8.05685965279181
33,676154,"2021-05-17 20:11:52",-82.237752969697,26.7211649393939,27.3292075252332,27.3327217400939,8.09681957028923,8.10344268411446
39,676154,"2021-08-22 13:44:00",-82.2490710227273,26.7172977272727,30.8975001884634,31.0738300778922,5.72463878996511,5.47486447162508
40,676154,"2021-08-22 13:54:33",-82.2946150938967,26.6966728403756,31.0699085860237,31.0205943760073,6.01624679886678,5.7436211136917
41,676154,"2021-08-22 14:07:15",-82.3660015617716,26.6532441491842,31.015944950498,30.1858625662963,-999,-999
42,676154,"2021-08-22 14:19:40",-82.4359424074074,26.6299401262626,30.5654830475637,29.9584679776668,-999.000000000005,-998.999999999996
43,676154,"2021-08-22 14:33:29",-82.5066122037037,26.6072876111111,30.3181600873378,30.1314379226659,-999,-998.999999999987
44,676154,"2021-08-22 17:10:24",-82.5065375535168,26.6091059021407,31.1083088037631,29.7283090306617,-999.000000000327,-998.999999999919
45,676154,"2021-08-22 19:11:28",-82.4003019101124,26.6745215355805,32.3697588523044,29.7513024510171,6.57737871525942,3.9222572897848
46,676154,"2021-08-22 19:27:37",-82.3044553947368,26.6939166812865,32.2575554900799,30.3657027476246,6.90922844425544,5.98811609079539
48,676154,"2021-09-07 12:51:33",-82.043884579288,26.4139851132686,29.8298491075422,29.971049856216,5.60680273538812,5.43485780167518
